"","state_to","state_from","flow","year","st_to","st_from"
"375","Delaware","Louisiana",23,2005,"DE","LA"
"376","Delaware","Maine",0,2005,"DE","ME"
"377","Delaware","Maryland",7714,2005,"DE","MD"
"378","Delaware","Massachusetts",320,2005,"DE","MA"
"379","Delaware","Michigan",622,2005,"DE","MI"
"380","Delaware","Minnesota",89,2005,"DE","MN"
"381","Delaware","Mississippi",0,2005,"DE","MS"
"382","Delaware","Missouri",105,2005,"DE","MO"
"383","Delaware","Montana",0,2005,"DE","MT"
"384","Delaware","Nebraska",44,2005,"DE","NE"
"385","Delaware","Nevada",0,2005,"DE","NV"
"386","Delaware","New Hampshire",0,2005,"DE","NH"
"387","Delaware","New Jersey",2723,2005,"DE","NJ"
"388","Delaware","New Mexico",0,2005,"DE","NM"
"389","Delaware","New York",4544,2005,"DE","NY"
"390","Delaware","North Carolina",380,2005,"DE","NC"
"391","Delaware","North Dakota",0,2005,"DE","ND"
"392","Delaware","Ohio",450,2005,"DE","OH"
"393","Delaware","Oklahoma",163,2005,"DE","OK"
"394","Delaware","Oregon",198,2005,"DE","OR"
"395","Delaware","Pennsylvania",8637,2005,"DE","PA"
"396","Delaware","Puerto Rico",527,2005,"DE","PR"
"397","Delaware","Rhode Island",487,2005,"DE","RI"
"398","Delaware","South Carolina",0,2005,"DE","SC"
"399","Delaware","South Dakota",0,2005,"DE","SD"
"400","Delaware","Tennessee",513,2005,"DE","TN"
"401","Delaware","Texas",184,2005,"DE","TX"
"402","Delaware","Utah",140,2005,"DE","UT"
"403","Delaware","Vermont",0,2005,"DE","VT"
"404","Delaware","Virginia",1056,2005,"DE","VA"
"405","Delaware","Washington",0,2005,"DE","WA"
"406","Delaware","West Virginia",254,2005,"DE","WV"
"407","Delaware","Wisconsin",0,2005,"DE","WI"
"408","Delaware","Wyoming",0,2005,"DE","WY"
"409","District of Columbia","Alabama",0,2005,"DC","AL"
"410","District of Columbia","Alaska",0,2005,"DC","AK"
"411","District of Columbia","Arizona",490,2005,"DC","AZ"
"412","District of Columbia","Arkansas",0,2005,"DC","AR"
"413","District of Columbia","California",2348,2005,"DC","CA"
"414","District of Columbia","Colorado",269,2005,"DC","CO"
"415","District of Columbia","Connecticut",261,2005,"DC","CT"
"416","District of Columbia","Delaware",357,2005,"DC","DE"
"417","District of Columbia","Florida",1103,2005,"DC","FL"
"418","District of Columbia","Georgia",319,2005,"DC","GA"
"419","District of Columbia","Hawaii",56,2005,"DC","HI"
"420","District of Columbia","Idaho",0,2005,"DC","ID"
"421","District of Columbia","Illinois",1519,2005,"DC","IL"
"422","District of Columbia","Indiana",192,2005,"DC","IN"
"423","District of Columbia","Iowa",0,2005,"DC","IA"
"424","District of Columbia","Kansas",0,2005,"DC","KS"
"425","District of Columbia","Kentucky",32,2005,"DC","KY"
"426","District of Columbia","Louisiana",271,2005,"DC","LA"
"427","District of Columbia","Maine",174,2005,"DC","ME"
"428","District of Columbia","Maryland",10087,2005,"DC","MD"
"429","District of Columbia","Massachusetts",2579,2005,"DC","MA"
"430","District of Columbia","Michigan",122,2005,"DC","MI"
"431","District of Columbia","Minnesota",363,2005,"DC","MN"
"432","District of Columbia","Mississippi",0,2005,"DC","MS"
"433","District of Columbia","Missouri",68,2005,"DC","MO"
"434","District of Columbia","Montana",0,2005,"DC","MT"
"435","District of Columbia","Nebraska",186,2005,"DC","NE"
"436","District of Columbia","Nevada",0,2005,"DC","NV"
"437","District of Columbia","New Hampshire",66,2005,"DC","NH"
"438","District of Columbia","New Jersey",954,2005,"DC","NJ"
"439","District of Columbia","New Mexico",212,2005,"DC","NM"
"440","District of Columbia","New York",2801,2005,"DC","NY"
"441","District of Columbia","North Carolina",2156,2005,"DC","NC"
"442","District of Columbia","North Dakota",0,2005,"DC","ND"
"443","District of Columbia","Ohio",216,2005,"DC","OH"
"444","District of Columbia","Oklahoma",127,2005,"DC","OK"
"445","District of Columbia","Oregon",176,2005,"DC","OR"
"446","District of Columbia","Pennsylvania",898,2005,"DC","PA"
"447","District of Columbia","Puerto Rico",179,2005,"DC","PR"
"448","District of Columbia","Rhode Island",55,2005,"DC","RI"
"449","District of Columbia","South Carolina",397,2005,"DC","SC"
"450","District of Columbia","South Dakota",0,2005,"DC","SD"
"451","District of Columbia","Tennessee",367,2005,"DC","TN"
"452","District of Columbia","Texas",730,2005,"DC","TX"
"453","District of Columbia","Utah",796,2005,"DC","UT"
"454","District of Columbia","Vermont",27,2005,"DC","VT"
"455","District of Columbia","Virginia",5654,2005,"DC","VA"
"456","District of Columbia","Washington",443,2005,"DC","WA"
"457","District of Columbia","West Virginia",389,2005,"DC","WV"
"458","District of Columbia","Wisconsin",49,2005,"DC","WI"
"459","District of Columbia","Wyoming",0,2005,"DC","WY"
"460","Florida","Alabama",10559,2005,"FL","AL"
"461","Florida","Alaska",2932,2005,"FL","AK"
"462","Florida","Arizona",5962,2005,"FL","AZ"
"463","Florida","Arkansas",3300,2005,"FL","AR"
"464","Florida","California",29152,2005,"FL","CA"
"465","Florida","Colorado",8002,2005,"FL","CO"
"466","Florida","Connecticut",12609,2005,"FL","CT"
"467","Florida","Delaware",1441,2005,"FL","DE"
"468","Florida","District of Columbia",1920,2005,"FL","DC"
"469","Florida","Georgia",42557,2005,"FL","GA"
"470","Florida","Hawaii",2055,2005,"FL","HI"
"471","Florida","Idaho",608,2005,"FL","ID"
"472","Florida","Illinois",18400,2005,"FL","IL"
"473","Florida","Indiana",17746,2005,"FL","IN"
"474","Florida","Iowa",3725,2005,"FL","IA"
"475","Florida","Kansas",1252,2005,"FL","KS"
"476","Florida","Kentucky",7941,2005,"FL","KY"
"477","Florida","Louisiana",9324,2005,"FL","LA"
