"","state_to","state_from","net_flow","year","st_to","st_from"
"1","Alabama","Alaska",456,2005,"AL","AK"
"2","Arizona","Alabama",853,2005,"AZ","AL"
"3","Alabama","Arkansas",1274,2005,"AL","AR"
"4","California","Alabama",1350,2005,"CA","AL"
"5","Alabama","Colorado",427,2005,"AL","CO"
"6","Connecticut","Alabama",199,2005,"CT","AL"
"7","Alabama","Delaware",17,2005,"AL","DE"
"8","Alabama","District of Columbia",191,2005,"AL","DC"
"9","Alabama","Florida",5082,2005,"AL","FL"
"10","Georgia","Alabama",4335,2005,"GA","AL"
"11","Hawaii","Alabama",711,2005,"HI","AL"
"12","Idaho","Alabama",23,2005,"ID","AL"
"13","Alabama","Illinois",1859,2005,"AL","IL"
"14","Alabama","Indiana",1041,2005,"AL","IN"
"15","Alabama","Iowa",32,2005,"AL","IA"
"16","Kansas","Alabama",651,2005,"KS","AL"
"17","Alabama","Kentucky",951,2005,"AL","KY"
"18","Alabama","Louisiana",1908,2005,"AL","LA"
"19","Alabama","Maine",24,2005,"AL","ME"
"20","Maryland","Alabama",155,2005,"MD","AL"
"21","Alabama","Massachusetts",117,2005,"AL","MA"
"22","Alabama","Michigan",1561,2005,"AL","MI"
"23","Minnesota","Alabama",365,2005,"MN","AL"
"24","Alabama","Mississippi",5263,2005,"AL","MS"
"25","Alabama","Missouri",860,2005,"AL","MO"
"26","Montana","Alabama",299,2005,"MT","AL"
"27","Alabama","Nebraska",367,2005,"AL","NE"
"28","Alabama","Nevada",555,2005,"AL","NV"
"29","Alabama","New Hampshire",434,2005,"AL","NH"
"30","Alabama","New Jersey",584,2005,"AL","NJ"
"31","New Mexico","Alabama",53,2005,"NM","AL"
"32","Alabama","New York",1736,2005,"AL","NY"
"33","North Carolina","Alabama",2346,2005,"NC","AL"
"34","Alabama","North Dakota",80,2005,"AL","ND"
"35","Ohio","Alabama",370,2005,"OH","AL"
"36","Alabama","Oklahoma",1470,2005,"AL","OK"
"37","Oregon","Alabama",1142,2005,"OR","AL"
"38","Pennsylvania","Alabama",197,2005,"PA","AL"
"39","Alabama","Puerto Rico",73,2005,"AL","PR"
"40","Rhode Island","Alabama",88,2005,"RI","AL"
"41","Alabama","South Carolina",172,2005,"AL","SC"
"42","Alabama","South Dakota",0,2005,"AL","SD"
"43","Alabama","Tennessee",491,2005,"AL","TN"
"44","Alabama","Texas",490,2005,"AL","TX"
"45","Alabama","Utah",200,2005,"AL","UT"
"46","Alabama","Vermont",163,2005,"AL","VT"
"47","Alabama","Virginia",422,2005,"AL","VA"
"48","Alabama","Washington",1140,2005,"AL","WA"
"49","Alabama","West Virginia",85,2005,"AL","WV"
"50","Wisconsin","Alabama",1972,2005,"WI","AL"
"51","Alabama","Wyoming",168,2005,"AL","WY"
"52","Arizona","Alaska",953,2005,"AZ","AK"
"53","Arkansas","Alaska",606,2005,"AR","AK"
"54","California","Alaska",1376,2005,"CA","AK"
"55","Colorado","Alaska",601,2005,"CO","AK"
"56","Connecticut","Alaska",310,2005,"CT","AK"
"57","Delaware","Alaska",337,2005,"DE","AK"
"58","Alaska","District of Columbia",0,2005,"AK","DC"
"59","Florida","Alaska",1992,2005,"FL","AK"
"60","Georgia","Alaska",1754,2005,"GA","AK"
"61","Alaska","Hawaii",159,2005,"AK","HI"
"62","Idaho","Alaska",915,2005,"ID","AK"
"63","Illinois","Alaska",2301,2005,"IL","AK"
"64","Indiana","Alaska",5,2005,"IN","AK"
"65","Iowa","Alaska",105,2005,"IA","AK"
"66","Alaska","Kansas",700,2005,"AK","KS"
"67","Kentucky","Alaska",142,2005,"KY","AK"
"68","Louisiana","Alaska",1438,2005,"LA","AK"
"69","Maine","Alaska",247,2005,"ME","AK"
"70","Maryland","Alaska",242,2005,"MD","AK"
"71","Massachusetts","Alaska",494,2005,"MA","AK"
"72","Michigan","Alaska",1305,2005,"MI","AK"
"73","Minnesota","Alaska",692,2005,"MN","AK"
"74","Alaska","Mississippi",1143,2005,"AK","MS"
"75","Missouri","Alaska",107,2005,"MO","AK"
"76","Montana","Alaska",301,2005,"MT","AK"
"77","Alaska","Nebraska",57,2005,"AK","NE"
"78","Nevada","Alaska",333,2005,"NV","AK"
"79","New Hampshire","Alaska",339,2005,"NH","AK"
"80","New Jersey","Alaska",791,2005,"NJ","AK"
"81","New Mexico","Alaska",222,2005,"NM","AK"
"82","New York","Alaska",192,2005,"NY","AK"
"83","North Carolina","Alaska",275,2005,"NC","AK"
"84","Alaska","North Dakota",63,2005,"AK","ND"
"85","Ohio","Alaska",177,2005,"OH","AK"
"86","Oklahoma","Alaska",33,2005,"OK","AK"
"87","Oregon","Alaska",676,2005,"OR","AK"
"88","Pennsylvania","Alaska",718,2005,"PA","AK"
"89","Alaska","Puerto Rico",261,2005,"AK","PR"
"90","Rhode Island","Alaska",87,2005,"RI","AK"
"91","Alaska","South Carolina",450,2005,"AK","SC"
"92","Alaska","South Dakota",70,2005,"AK","SD"
"93","Tennessee","Alaska",428,2005,"TN","AK"
"94","Texas","Alaska",1821,2005,"TX","AK"
"95","Alaska","Utah",741,2005,"AK","UT"
"96","Vermont","Alaska",15,2005,"VT","AK"
"97","Virginia","Alaska",1293,2005,"VA","AK"
"98","Washington","Alaska",1445,2005,"WA","AK"
"99","West Virginia","Alaska",1164,2005,"WV","AK"
"100","Alaska","Wisconsin",629,2005,"AK","WI"
"101","Alaska","Wyoming",76,2005,"AK","WY"
"102","Arizona","Arkansas",579,2005,"AZ","AR"
"103","Arizona","California",66140,2005,"AZ","CA"
"104","Arizona","Colorado",4494,2005,"AZ","CO"
"105","Arizona","Connecticut",1760,2005,"AZ","CT"
"106","Arizona","Delaware",24,2005,"AZ","DE"
"107","Arizona","District of Columbia",692,2005,"AZ","DC"
"108","Arizona","Florida",1222,2005,"AZ","FL"
"109","Georgia","Arizona",2765,2005,"GA","AZ"
"110","Hawaii","Arizona",193,2005,"HI","AZ"
"111","Arizona","Idaho",681,2005,"AZ","ID"
"112","Arizona","Illinois",6473,2005,"AZ","IL"
"113","Arizona","Indiana",1331,2005,"AZ","IN"
"114","Iowa","Arizona",459,2005,"IA","AZ"
"115","Kansas","Arizona",184,2005,"KS","AZ"
"116","Kentucky","Arizona",157,2005,"KY","AZ"
"117","Arizona","Louisiana",842,2005,"AZ","LA"
"118","Arizona","Maine",36,2005,"AZ","ME"
"119","Arizona","Maryland",1241,2005,"AZ","MD"
"120","Arizona","Massachusetts",1564,2005,"AZ","MA"
"121","Arizona","Michigan",6288,2005,"AZ","MI"
"122","Arizona","Minnesota",2282,2005,"AZ","MN"
"123","Arizona","Mississippi",794,2005,"AZ","MS"
"124","Missouri","Arizona",1851,2005,"MO","AZ"
"125","Arizona","Montana",587,2005,"AZ","MT"
"126","Arizona","Nebraska",1526,2005,"AZ","NE"
"127","Arizona","Nevada",4044,2005,"AZ","NV"
"128","Arizona","New Hampshire",415,2005,"AZ","NH"
"129","Arizona","New Jersey",2772,2005,"AZ","NJ"
"130","Arizona","New Mexico",3771,2005,"AZ","NM"
"131","Arizona","New York",3362,2005,"AZ","NY"
"132","Arizona","North Carolina",230,2005,"AZ","NC"
"133","Arizona","North Dakota",605,2005,"AZ","ND"
"134","Arizona","Ohio",2330,2005,"AZ","OH"
"135","Oklahoma","Arizona",681,2005,"OK","AZ"
"136","Oregon","Arizona",203,2005,"OR","AZ"
"137","Arizona","Pennsylvania",3036,2005,"AZ","PA"
"138","Puerto Rico","Arizona",85,2005,"PR","AZ"
"139","Arizona","Rhode Island",156,2005,"AZ","RI"
"140","Arizona","South Carolina",195,2005,"AZ","SC"
"141","Arizona","South Dakota",229,2005,"AZ","SD"
"142","Arizona","Tennessee",4015,2005,"AZ","TN"
"143","Arizona","Texas",5272,2005,"AZ","TX"
"144","Arizona","Utah",864,2005,"AZ","UT"
"145","Arizona","Vermont",223,2005,"AZ","VT"
"146","Arizona","Virginia",1945,2005,"AZ","VA"
"147","Washington","Arizona",1790,2005,"WA","AZ"
"148","Arizona","West Virginia",128,2005,"AZ","WV"
"149","Arizona","Wisconsin",5601,2005,"AZ","WI"
"150","Arizona","Wyoming",229,2005,"AZ","WY"
"151","Arkansas","California",3686,2005,"AR","CA"
"152","Arkansas","Colorado",781,2005,"AR","CO"
"153","Arkansas","Connecticut",66,2005,"AR","CT"
"154","Delaware","Arkansas",344,2005,"DE","AR"
"155","Arkansas","District of Columbia",0,2005,"AR","DC"
"156","Arkansas","Florida",1923,2005,"AR","FL"
"157","Georgia","Arkansas",96,2005,"GA","AR"
"158","Arkansas","Hawaii",315,2005,"AR","HI"
"159","Arkansas","Idaho",171,2005,"AR","ID"
"160","Arkansas","Illinois",1069,2005,"AR","IL"
"161","Arkansas","Indiana",1191,2005,"AR","IN"
"162","Iowa","Arkansas",418,2005,"IA","AR"
"163","Kansas","Arkansas",135,2005,"KS","AR"
"164","Kentucky","Arkansas",977,2005,"KY","AR"
"165","Arkansas","Louisiana",3633,2005,"AR","LA"
"166","Maine","Arkansas",238,2005,"ME","AR"
"167","Maryland","Arkansas",499,2005,"MD","AR"
"168","Arkansas","Massachusetts",1327,2005,"AR","MA"
"169","Arkansas","Michigan",240,2005,"AR","MI"
"170","Arkansas","Minnesota",224,2005,"AR","MN"
"171","Arkansas","Mississippi",2363,2005,"AR","MS"
"172","Arkansas","Missouri",1483,2005,"AR","MO"
"173","Montana","Arkansas",86,2005,"MT","AR"
"174","Arkansas","Nebraska",555,2005,"AR","NE"
"175","Arkansas","Nevada",97,2005,"AR","NV"
"176","Arkansas","New Hampshire",0,2005,"AR","NH"
"177","Arkansas","New Jersey",446,2005,"AR","NJ"
"178","New Mexico","Arkansas",432,2005,"NM","AR"
"179","Arkansas","New York",199,2005,"AR","NY"
"180","North Carolina","Arkansas",78,2005,"NC","AR"
"181","Arkansas","North Dakota",74,2005,"AR","ND"
"182","Arkansas","Ohio",155,2005,"AR","OH"
"183","Arkansas","Oklahoma",1925,2005,"AR","OK"
"184","Oregon","Arkansas",634,2005,"OR","AR"
"185","Pennsylvania","Arkansas",40,2005,"PA","AR"
"186","Arkansas","Puerto Rico",33,2005,"AR","PR"
"187","Arkansas","Rhode Island",0,2005,"AR","RI"
"188","Arkansas","South Carolina",1571,2005,"AR","SC"
"189","Arkansas","South Dakota",337,2005,"AR","SD"
"190","Tennessee","Arkansas",107,2005,"TN","AR"
"191","Arkansas","Texas",10284,2005,"AR","TX"
"192","Arkansas","Utah",216,2005,"AR","UT"
"193","Arkansas","Vermont",0,2005,"AR","VT"
"194","Arkansas","Virginia",968,2005,"AR","VA"
"195","Arkansas","Washington",381,2005,"AR","WA"
"196","Arkansas","West Virginia",3,2005,"AR","WV"
"197","Arkansas","Wisconsin",550,2005,"AR","WI"
"198","Wyoming","Arkansas",137,2005,"WY","AR"
"199","Colorado","California",11029,2005,"CO","CA"
"200","California","Connecticut",3269,2005,"CA","CT"
"201","Delaware","California",126,2005,"DE","CA"
"202","California","District of Columbia",1124,2005,"CA","DC"
"203","Florida","California",3900,2005,"FL","CA"
"204","Georgia","California",10885,2005,"GA","CA"
"205","Hawaii","California",4555,2005,"HI","CA"
"206","Idaho","California",10540,2005,"ID","CA"
"207","Illinois","California",2973,2005,"IL","CA"
"208","Indiana","California",1570,2005,"IN","CA"
"209","Iowa","California",196,2005,"IA","CA"
"210","Kansas","California",1901,2005,"KS","CA"
"211","Kentucky","California",1080,2005,"KY","CA"
"212","California","Louisiana",1354,2005,"CA","LA"
"213","Maine","California",2016,2005,"ME","CA"
"214","Maryland","California",1654,2005,"MD","CA"
"215","California","Massachusetts",3521,2005,"CA","MA"
"216","California","Michigan",2442,2005,"CA","MI"
"217","Minnesota","California",2626,2005,"MN","CA"
"218","Mississippi","California",2064,2005,"MS","CA"
"219","Missouri","California",3451,2005,"MO","CA"
"220","Montana","California",3440,2005,"MT","CA"
"221","Nebraska","California",247,2005,"NE","CA"
"222","Nevada","California",27836,2005,"NV","CA"
"223","New Hampshire","California",257,2005,"NH","CA"
"224","California","New Jersey",4007,2005,"CA","NJ"
"225","New Mexico","California",6479,2005,"NM","CA"
"226","California","New York",7511,2005,"CA","NY"
"227","California","North Carolina",1473,2005,"CA","NC"
"228","California","North Dakota",14,2005,"CA","ND"
"229","Ohio","California",3080,2005,"OH","CA"
"230","Oklahoma","California",5367,2005,"OK","CA"
"231","Oregon","California",39185,2005,"OR","CA"
"232","Pennsylvania","California",2165,2005,"PA","CA"
"233","Puerto Rico","California",802,2005,"PR","CA"
"234","Rhode Island","California",142,2005,"RI","CA"
"235","South Carolina","California",1243,2005,"SC","CA"
"236","California","South Dakota",323,2005,"CA","SD"
"237","Tennessee","California",8464,2005,"TN","CA"
"238","Texas","California",38747,2005,"TX","CA"
"239","Utah","California",6458,2005,"UT","CA"
"240","California","Vermont",366,2005,"CA","VT"
"241","Virginia","California",285,2005,"VA","CA"
"242","Washington","California",17993,2005,"WA","CA"
"243","West Virginia","California",40,2005,"WV","CA"
"244","Wisconsin","California",2785,2005,"WI","CA"
"245","Wyoming","California",1928,2005,"WY","CA"
"246","Connecticut","Colorado",322,2005,"CT","CO"
"247","Delaware","Colorado",88,2005,"DE","CO"
"248","Colorado","District of Columbia",286,2005,"CO","DC"
"249","Colorado","Florida",461,2005,"CO","FL"
"250","Georgia","Colorado",416,2005,"GA","CO"
"251","Hawaii","Colorado",1474,2005,"HI","CO"
"252","Idaho","Colorado",1042,2005,"ID","CO"
"253","Illinois","Colorado",512,2005,"IL","CO"
"254","Colorado","Indiana",1284,2005,"CO","IN"
"255","Iowa","Colorado",727,2005,"IA","CO"
"256","Colorado","Kansas",481,2005,"CO","KS"
"257","Colorado","Kentucky",532,2005,"CO","KY"
"258","Colorado","Louisiana",894,2005,"CO","LA"
"259","Maine","Colorado",214,2005,"ME","CO"
"260","Colorado","Maryland",742,2005,"CO","MD"
"261","Colorado","Massachusetts",1431,2005,"CO","MA"
"262","Michigan","Colorado",1126,2005,"MI","CO"
"263","Colorado","Minnesota",289,2005,"CO","MN"
"264","Colorado","Mississippi",214,2005,"CO","MS"
"265","Colorado","Missouri",130,2005,"CO","MO"
"266","Colorado","Montana",476,2005,"CO","MT"
"267","Colorado","Nebraska",2494,2005,"CO","NE"
"268","Colorado","Nevada",1677,2005,"CO","NV"
"269","Colorado","New Hampshire",1481,2005,"CO","NH"
"270","New Jersey","Colorado",404,2005,"NJ","CO"
"271","New Mexico","Colorado",741,2005,"NM","CO"
"272","Colorado","New York",3357,2005,"CO","NY"
"273","Colorado","North Carolina",2301,2005,"CO","NC"
"274","Colorado","North Dakota",504,2005,"CO","ND"
"275","Ohio","Colorado",596,2005,"OH","CO"
"276","Oklahoma","Colorado",806,2005,"OK","CO"
"277","Oregon","Colorado",2427,2005,"OR","CO"
"278","Colorado","Pennsylvania",2911,2005,"CO","PA"
"279","Puerto Rico","Colorado",300,2005,"PR","CO"
"280","Colorado","Rhode Island",51,2005,"CO","RI"
"281","South Carolina","Colorado",2,2005,"SC","CO"
"282","Colorado","South Dakota",471,2005,"CO","SD"
"283","Colorado","Tennessee",890,2005,"CO","TN"
"284","Texas","Colorado",853,2005,"TX","CO"
"285","Colorado","Utah",257,2005,"CO","UT"
"286","Vermont","Colorado",295,2005,"VT","CO"
"287","Virginia","Colorado",338,2005,"VA","CO"
"288","Washington","Colorado",2814,2005,"WA","CO"
"289","Colorado","West Virginia",352,2005,"CO","WV"
"290","Colorado","Wisconsin",699,2005,"CO","WI"
"291","Colorado","Wyoming",1567,2005,"CO","WY"
"292","Connecticut","Delaware",173,2005,"CT","DE"
"293","Connecticut","District of Columbia",1241,2005,"CT","DC"
"294","Florida","Connecticut",7344,2005,"FL","CT"
"295","Georgia","Connecticut",2928,2005,"GA","CT"
"296","Connecticut","Hawaii",149,2005,"CT","HI"
"297","Idaho","Connecticut",251,2005,"ID","CT"
"298","Connecticut","Illinois",875,2005,"CT","IL"
"299","Indiana","Connecticut",116,2005,"IN","CT"
"300","Iowa","Connecticut",92,2005,"IA","CT"
"301","Kansas","Connecticut",81,2005,"KS","CT"
"302","Kentucky","Connecticut",74,2005,"KY","CT"
"303","Louisiana","Connecticut",137,2005,"LA","CT"
"304","Maine","Connecticut",1620,2005,"ME","CT"
"305","Connecticut","Maryland",840,2005,"CT","MD"
"306","Massachusetts","Connecticut",782,2005,"MA","CT"
"307","Connecticut","Michigan",268,2005,"CT","MI"
"308","Minnesota","Connecticut",853,2005,"MN","CT"
"309","Connecticut","Mississippi",55,2005,"CT","MS"
"310","Missouri","Connecticut",214,2005,"MO","CT"
"311","Montana","Connecticut",345,2005,"MT","CT"
"312","Nebraska","Connecticut",310,2005,"NE","CT"
"313","Nevada","Connecticut",244,2005,"NV","CT"
"314","Connecticut","New Hampshire",377,2005,"CT","NH"
"315","New Jersey","Connecticut",1209,2005,"NJ","CT"
"316","New Mexico","Connecticut",462,2005,"NM","CT"
"317","Connecticut","New York",17080,2005,"CT","NY"
"318","North Carolina","Connecticut",2557,2005,"NC","CT"
"319","North Dakota","Connecticut",382,2005,"ND","CT"
"320","Ohio","Connecticut",43,2005,"OH","CT"
"321","Oklahoma","Connecticut",193,2005,"OK","CT"
"322","Oregon","Connecticut",174,2005,"OR","CT"
"323","Pennsylvania","Connecticut",548,2005,"PA","CT"
"324","Puerto Rico","Connecticut",86,2005,"PR","CT"
"325","Connecticut","Rhode Island",2399,2005,"CT","RI"
"326","South Carolina","Connecticut",1011,2005,"SC","CT"
"327","Connecticut","South Dakota",0,2005,"CT","SD"
"328","Tennessee","Connecticut",324,2005,"TN","CT"
"329","Texas","Connecticut",598,2005,"TX","CT"
"330","Utah","Connecticut",343,2005,"UT","CT"
"331","Connecticut","Vermont",80,2005,"CT","VT"
"332","Virginia","Connecticut",1924,2005,"VA","CT"
"333","Washington","Connecticut",318,2005,"WA","CT"
"334","Connecticut","West Virginia",140,2005,"CT","WV"
"335","Wisconsin","Connecticut",472,2005,"WI","CT"
"336","Connecticut","Wyoming",0,2005,"CT","WY"
"337","District of Columbia","Delaware",357,2005,"DC","DE"
"338","Delaware","Florida",543,2005,"DE","FL"
"339","Georgia","Delaware",50,2005,"GA","DE"
"340","Delaware","Hawaii",0,2005,"DE","HI"
"341","Delaware","Idaho",222,2005,"DE","ID"
"342","Delaware","Illinois",331,2005,"DE","IL"
"343","Indiana","Delaware",43,2005,"IN","DE"
"344","Delaware","Iowa",0,2005,"DE","IA"
"345","Delaware","Kansas",1,2005,"DE","KS"
"346","Delaware","Kentucky",58,2005,"DE","KY"
"347","Delaware","Louisiana",23,2005,"DE","LA"
"348","Delaware","Maine",0,2005,"DE","ME"
"349","Delaware","Maryland",3283,2005,"DE","MD"
"350","Delaware","Massachusetts",193,2005,"DE","MA"
"351","Delaware","Michigan",517,2005,"DE","MI"
"352","Delaware","Minnesota",89,2005,"DE","MN"
"353","Mississippi","Delaware",215,2005,"MS","DE"
"354","Delaware","Missouri",105,2005,"DE","MO"
"355","Montana","Delaware",40,2005,"MT","DE"
"356","Nebraska","Delaware",10,2005,"NE","DE"
"357","Nevada","Delaware",87,2005,"NV","DE"
"358","Delaware","New Hampshire",0,2005,"DE","NH"
"359","Delaware","New Jersey",1423,2005,"DE","NJ"
"360","Delaware","New Mexico",0,2005,"DE","NM"
"361","Delaware","New York",4169,2005,"DE","NY"
"362","Delaware","North Carolina",380,2005,"DE","NC"
"363","Delaware","North Dakota",0,2005,"DE","ND"
"364","Ohio","Delaware",572,2005,"OH","DE"
"365","Delaware","Oklahoma",163,2005,"DE","OK"
"366","Delaware","Oregon",198,2005,"DE","OR"
"367","Delaware","Pennsylvania",1426,2005,"DE","PA"
"368","Puerto Rico","Delaware",31,2005,"PR","DE"
"369","Delaware","Rhode Island",487,2005,"DE","RI"
"370","South Carolina","Delaware",10,2005,"SC","DE"
"371","Delaware","South Dakota",0,2005,"DE","SD"
"372","Delaware","Tennessee",77,2005,"DE","TN"
"373","Texas","Delaware",633,2005,"TX","DE"
"374","Delaware","Utah",140,2005,"DE","UT"
"375","Delaware","Vermont",0,2005,"DE","VT"
"376","Delaware","Virginia",617,2005,"DE","VA"
"377","Washington","Delaware",329,2005,"WA","DE"
"378","West Virginia","Delaware",9,2005,"WV","DE"
"379","Delaware","Wisconsin",0,2005,"DE","WI"
"380","Delaware","Wyoming",0,2005,"DE","WY"
"381","Florida","District of Columbia",817,2005,"FL","DC"
"382","Georgia","District of Columbia",101,2005,"GA","DC"
"383","District of Columbia","Hawaii",0,2005,"DC","HI"
"384","Idaho","District of Columbia",29,2005,"ID","DC"
"385","District of Columbia","Illinois",1226,2005,"DC","IL"
"386","Indiana","District of Columbia",196,2005,"IN","DC"
"387","District of Columbia","Iowa",0,2005,"DC","IA"
"388","District of Columbia","Kansas",0,2005,"DC","KS"
"389","Kentucky","District of Columbia",204,2005,"KY","DC"
"390","District of Columbia","Louisiana",96,2005,"DC","LA"
"391","Maine","District of Columbia",184,2005,"ME","DC"
"392","Maryland","District of Columbia",11111,2005,"MD","DC"
"393","District of Columbia","Massachusetts",1937,2005,"DC","MA"
"394","Michigan","District of Columbia",260,2005,"MI","DC"
"395","District of Columbia","Minnesota",210,2005,"DC","MN"
"396","Mississippi","District of Columbia",142,2005,"MS","DC"
"397","Missouri","District of Columbia",31,2005,"MO","DC"
"398","District of Columbia","Montana",0,2005,"DC","MT"
"399","District of Columbia","Nebraska",186,2005,"DC","NE"
"400","Nevada","District of Columbia",752,2005,"NV","DC"
"401","District of Columbia","New Hampshire",66,2005,"DC","NH"
"402","District of Columbia","New Jersey",153,2005,"DC","NJ"
"403","District of Columbia","New Mexico",212,2005,"DC","NM"
"404","District of Columbia","New York",848,2005,"DC","NY"
"405","District of Columbia","North Carolina",1590,2005,"DC","NC"
"406","District of Columbia","North Dakota",0,2005,"DC","ND"
"407","Ohio","District of Columbia",237,2005,"OH","DC"
"408","Oklahoma","District of Columbia",4,2005,"OK","DC"
"409","Oregon","District of Columbia",888,2005,"OR","DC"
"410","Pennsylvania","District of Columbia",652,2005,"PA","DC"
"411","District of Columbia","Puerto Rico",179,2005,"DC","PR"
"412","Rhode Island","District of Columbia",5,2005,"RI","DC"
"413","District of Columbia","South Carolina",169,2005,"DC","SC"
"414","South Dakota","District of Columbia",403,2005,"SD","DC"
"415","District of Columbia","Tennessee",232,2005,"DC","TN"
"416","Texas","District of Columbia",787,2005,"TX","DC"
"417","District of Columbia","Utah",513,2005,"DC","UT"
"418","Vermont","District of Columbia",105,2005,"VT","DC"
"419","Virginia","District of Columbia",558,2005,"VA","DC"
"420","District of Columbia","Washington",11,2005,"DC","WA"
"421","District of Columbia","West Virginia",389,2005,"DC","WV"
"422","Wisconsin","District of Columbia",67,2005,"WI","DC"
"423","District of Columbia","Wyoming",0,2005,"DC","WY"
"424","Georgia","Florida",11569,2005,"GA","FL"
"425","Florida","Hawaii",795,2005,"FL","HI"
"426","Idaho","Florida",785,2005,"ID","FL"
"427","Florida","Illinois",3307,2005,"FL","IL"
"428","Florida","Indiana",8670,2005,"FL","IN"
"429","Florida","Iowa",575,2005,"FL","IA"
"430","Kansas","Florida",1627,2005,"KS","FL"
"431","Kentucky","Florida",1846,2005,"KY","FL"
"432","Florida","Louisiana",4078,2005,"FL","LA"
"433","Florida","Maine",1996,2005,"FL","ME"
"434","Florida","Maryland",11229,2005,"FL","MD"
"435","Florida","Massachusetts",17532,2005,"FL","MA"
"436","Florida","Michigan",12242,2005,"FL","MI"
"437","Florida","Minnesota",8191,2005,"FL","MN"
"438","Florida","Mississippi",1625,2005,"FL","MS"
"439","Florida","Missouri",2054,2005,"FL","MO"
"440","Montana","Florida",110,2005,"MT","FL"
"441","Nebraska","Florida",812,2005,"NE","FL"
"442","Nevada","Florida",1006,2005,"NV","FL"
"443","Florida","New Hampshire",5961,2005,"FL","NH"
"444","Florida","New Jersey",19994,2005,"FL","NJ"
"445","New Mexico","Florida",2541,2005,"NM","FL"
"446","Florida","New York",73022,2005,"FL","NY"
"447","Florida","North Carolina",275,2005,"FL","NC"
"448","North Dakota","Florida",433,2005,"ND","FL"
"449","Florida","Ohio",22764,2005,"FL","OH"
"450","Oklahoma","Florida",2736,2005,"OK","FL"
"451","Oregon","Florida",1194,2005,"OR","FL"
"452","Florida","Pennsylvania",13635,2005,"FL","PA"
"453","Florida","Puerto Rico",4455,2005,"FL","PR"
"454","Florida","Rhode Island",5866,2005,"FL","RI"
"455","South Carolina","Florida",2497,2005,"SC","FL"
"456","South Dakota","Florida",200,2005,"SD","FL"
"457","Tennessee","Florida",6823,2005,"TN","FL"
"458","Texas","Florida",6043,2005,"TX","FL"
"459","Utah","Florida",1853,2005,"UT","FL"
"460","Vermont","Florida",41,2005,"VT","FL"
"461","Florida","Virginia",8154,2005,"FL","VA"
"462","Washington","Florida",1131,2005,"WA","FL"
"463","Florida","West Virginia",80,2005,"FL","WV"
"464","Florida","Wisconsin",5075,2005,"FL","WI"
"465","Florida","Wyoming",318,2005,"FL","WY"
"466","Georgia","Hawaii",450,2005,"GA","HI"
"467","Georgia","Idaho",519,2005,"GA","ID"
"468","Georgia","Illinois",1488,2005,"GA","IL"
"469","Georgia","Indiana",4575,2005,"GA","IN"
"470","Iowa","Georgia",1063,2005,"IA","GA"
"471","Georgia","Kansas",604,2005,"GA","KS"
"472","Georgia","Kentucky",2005,2005,"GA","KY"
"473","Georgia","Louisiana",5327,2005,"GA","LA"
"474","Maine","Georgia",1043,2005,"ME","GA"
"475","Georgia","Maryland",317,2005,"GA","MD"
"476","Georgia","Massachusetts",3705,2005,"GA","MA"
"477","Georgia","Michigan",3457,2005,"GA","MI"
"478","Georgia","Minnesota",547,2005,"GA","MN"
"479","Georgia","Mississippi",890,2005,"GA","MS"
"480","Georgia","Missouri",323,2005,"GA","MO"
"481","Montana","Georgia",59,2005,"MT","GA"
"482","Georgia","Nebraska",932,2005,"GA","NE"
"483","Georgia","Nevada",1527,2005,"GA","NV"
"484","New Hampshire","Georgia",505,2005,"NH","GA"
"485","Georgia","New Jersey",2365,2005,"GA","NJ"
"486","New Mexico","Georgia",264,2005,"NM","GA"
"487","Georgia","New York",23093,2005,"GA","NY"
"488","North Carolina","Georgia",1474,2005,"NC","GA"
"489","Georgia","North Dakota",456,2005,"GA","ND"
"490","Georgia","Ohio",1778,2005,"GA","OH"
"491","Oklahoma","Georgia",1259,2005,"OK","GA"
"492","Georgia","Oregon",700,2005,"GA","OR"
"493","Georgia","Pennsylvania",2026,2005,"GA","PA"
"494","Puerto Rico","Georgia",689,2005,"PR","GA"
"495","Georgia","Rhode Island",442,2005,"GA","RI"
"496","South Carolina","Georgia",3392,2005,"SC","GA"
"497","South Dakota","Georgia",70,2005,"SD","GA"
"498","Georgia","Tennessee",1067,2005,"GA","TN"
"499","Texas","Georgia",2680,2005,"TX","GA"
"500","Georgia","Utah",467,2005,"GA","UT"
"501","Georgia","Vermont",506,2005,"GA","VT"
"502","Georgia","Virginia",534,2005,"GA","VA"
"503","Georgia","Washington",4060,2005,"GA","WA"
"504","West Virginia","Georgia",1619,2005,"WV","GA"
"505","Georgia","Wisconsin",2619,2005,"GA","WI"
"506","Georgia","Wyoming",0,2005,"GA","WY"
"507","Hawaii","Idaho",628,2005,"HI","ID"
"508","Illinois","Hawaii",407,2005,"IL","HI"
"509","Indiana","Hawaii",584,2005,"IN","HI"
"510","Hawaii","Iowa",452,2005,"HI","IA"
"511","Hawaii","Kansas",235,2005,"HI","KS"
"512","Kentucky","Hawaii",193,2005,"KY","HI"
"513","Hawaii","Louisiana",528,2005,"HI","LA"
"514","Maine","Hawaii",31,2005,"ME","HI"
"515","Maryland","Hawaii",483,2005,"MD","HI"
"516","Hawaii","Massachusetts",10,2005,"HI","MA"
"517","Hawaii","Michigan",630,2005,"HI","MI"
