"","state_to","state_from","net_flow","year","st_to","st_from"
"19692","Texas","New Mexico",7663,2019,"TX","NM"
"19693","New Mexico","Utah",103,2019,"NM","UT"
"19694","Vermont","New Mexico",82,2019,"VT","NM"
"19695","Virginia","New Mexico",904,2019,"VA","NM"
"19696","New Mexico","Washington",193,2019,"NM","WA"
"19697","New Mexico","West Virginia",0,2019,"NM","WV"
"19698","Wisconsin","New Mexico",95,2019,"WI","NM"
"19699","New Mexico","Wyoming",1074,2019,"NM","WY"
"19700","New Mexico","Puerto Rico",217,2019,"NM","PR"
"19701","North Carolina","New York",13724,2019,"NC","NY"
"19702","North Dakota","New York",198,2019,"ND","NY"
"19703","Ohio","New York",3151,2019,"OH","NY"
"19704","Oklahoma","New York",975,2019,"OK","NY"
"19705","Oregon","New York",1371,2019,"OR","NY"
"19706","Pennsylvania","New York",23977,2019,"PA","NY"
"19707","Rhode Island","New York",736,2019,"RI","NY"
"19708","South Carolina","New York",7247,2019,"SC","NY"
"19709","New York","South Dakota",68,2019,"NY","SD"
"19710","Tennessee","New York",1081,2019,"TN","NY"
"19711","Texas","New York",5045,2019,"TX","NY"
"19712","Utah","New York",888,2019,"UT","NY"
"19713","Vermont","New York",192,2019,"VT","NY"
"19714","Virginia","New York",3438,2019,"VA","NY"
"19715","Washington","New York",4188,2019,"WA","NY"
"19716","West Virginia","New York",16,2019,"WV","NY"
"19717","Wisconsin","New York",887,2019,"WI","NY"
"19718","Wyoming","New York",317,2019,"WY","NY"
"19719","Puerto Rico","New York",1258,2019,"PR","NY"
"19720","North Carolina","North Dakota",846,2019,"NC","ND"
"19721","North Carolina","Ohio",4899,2019,"NC","OH"
"19722","Oklahoma","North Carolina",1040,2019,"OK","NC"
"19723","North Carolina","Oregon",284,2019,"NC","OR"
"19724","North Carolina","Pennsylvania",6120,2019,"NC","PA"
"19725","North Carolina","Rhode Island",644,2019,"NC","RI"
"19726","South Carolina","North Carolina",6200,2019,"SC","NC"
"19727","South Dakota","North Carolina",234,2019,"SD","NC"
"19728","Tennessee","North Carolina",3581,2019,"TN","NC"
"19729","Texas","North Carolina",1612,2019,"TX","NC"
"19730","Utah","North Carolina",684,2019,"UT","NC"
"19731","North Carolina","Vermont",345,2019,"NC","VT"
"19732","North Carolina","Virginia",3329,2019,"NC","VA"
"19733","North Carolina","Washington",1505,2019,"NC","WA"
"19734","North Carolina","West Virginia",435,2019,"NC","WV"
"19735","Wisconsin","North Carolina",2,2019,"WI","NC"
"19736","North Carolina","Wyoming",157,2019,"NC","WY"
"19737","North Carolina","Puerto Rico",765,2019,"NC","PR"
"19738","Ohio","North Dakota",1341,2019,"OH","ND"
"19739","Oklahoma","North Dakota",92,2019,"OK","ND"
"19740","Oregon","North Dakota",161,2019,"OR","ND"
"19741","Pennsylvania","North Dakota",678,2019,"PA","ND"
"19742","North Dakota","Rhode Island",0,2019,"ND","RI"
"19743","South Carolina","North Dakota",876,2019,"SC","ND"
"19744","North Dakota","South Dakota",1111,2019,"ND","SD"
"19745","North Dakota","Tennessee",175,2019,"ND","TN"
"19746","North Dakota","Texas",2131,2019,"ND","TX"
"19747","North Dakota","Utah",297,2019,"ND","UT"
"19748","North Dakota","Vermont",0,2019,"ND","VT"
"19749","North Dakota","Virginia",144,2019,"ND","VA"
"19750","North Dakota","Washington",855,2019,"ND","WA"
"19751","North Dakota","West Virginia",0,2019,"ND","WV"
"19752","Wisconsin","North Dakota",1056,2019,"WI","ND"
"19753","North Dakota","Wyoming",465,2019,"ND","WY"
"19754","North Dakota","Puerto Rico",514,2019,"ND","PR"
"19755","Oklahoma","Ohio",467,2019,"OK","OH"
"19756","Ohio","Oregon",1120,2019,"OH","OR"
"19757","Ohio","Pennsylvania",4040,2019,"OH","PA"
"19758","Rhode Island","Ohio",333,2019,"RI","OH"
